9907233	9301253
9907233	9504304
9907233	9505235
9907233	9506257
9907233	9606402
9907233	9607354
9907233	9611297
9907233	9702314
9907233	9704296
9907233	9803214
9907233	9903217
9704296	9311274
9704296	9502335
9704296	9606402
9704296	9607354
9704296	9611296
9704296	9611297
9704296	9612258
9606402	9301203
9606402	9301206
9606402	9502274
9606402	9503474
9606402	9505235
9607354	9504304
9607354	9505235
9607354	9606402
9702314	9302247
9702314	9501357
9702314	9501384
9702314	9502366
9702314	9504372
9702314	9511210
9702314	9610453
9803214	9301253
9803214	9702314
9803214	9706487
9506257	9311274
9611297	9211239
9611297	9302217
9611297	9405341
9611297	9409335
9611297	9409371
9611297	9411285
9611297	9504304
9611297	9505235
9611297	9508393
9611297	9602366
9611297	9606210
9611297	9610360
9903217	9301253
9903217	9502366
9903217	9605245
9903217	9610282
9903217	9702314
9903217	9803214
9903217	9803242
9903217	9804209
9903217	9805334
112133	2171
112133	12308
112133	104062
112133	104110
112133	112008
112133	9403384
112133	9501265
112133	9512380
112133	9607469
112133	9711261
112133	9712252
112133	9910236
2171	9711261
2171	9810333
2171	9901418
2171	9908432
2171	9911280
9501265	9210215
9501265	9211304
9501265	9211321
9501265	9212203
9501265	9303284
9501265	9304257
9501265	9406263
9501265	9409335
104110	1113
104110	1297
104110	2227
104110	3323
104110	4004
104110	4173
104110	4213
104110	5006
104110	6001
104110	6022
104110	6124
104110	6225
104110	6351
104110	6357
104110	7038
104110	7136
104110	7256
104110	7360
104110	8004
104110	8009
104110	8018
104110	8159
104110	8216
104110	8255
104110	8273
104110	9042
104110	9054
104110	9210
104110	11238
104110	11358
104110	12152
104110	12208
104110	12271
104110	12308
104110	101118
104110	101190
104110	102012
104110	102077
104110	102219
104110	103020
104110	103211
104110	104018
104110	104062
